70 77 -1 [0, 1, 0, 0, 0, 0, 0, 1, -1] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
78 134 -1 [-1, 1, 1, 0, 0, 0, 0, 0, 0] 1 {'N': 246, 'W': 105, 'Q': 0.4268292682926829, 'P': None}
78 135 -1 [-1, 0, 1, 1, 0, 0, 0, 0, 0] 3 {'N': 295, 'W': 131, 'Q': 0.4440677966101695, 'P': None}
78 136 -1 [-1, 0, 1, 0, 1, 0, 0, 0, 0] 4 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
78 137 -1 [-1, 0, 1, 0, 0, 1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
78 138 -1 [-1, 0, 1, 0, 0, 0, 1, 0, 0] 6 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
78 139 -1 [-1, 0, 1, 0, 0, 0, 0, 1, 0] 7 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
78 140 -1 [-1, 0, 1, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
79 172 -1 [1, -1, 1, 0, 0, 0, 0, 0, 0] 0 {'N': 174, 'W': 102, 'Q': 0.5862068965517241, 'P': None}
79 173 -1 [0, -1, 1, 1, 0, 0, 0, 0, 0] 3 {'N': 194, 'W': 130, 'Q': 0.6701030927835051, 'P': None}
79 174 -1 [0, -1, 1, 0, 1, 0, 0, 0, 0] 4 {'N': 184, 'W': 140, 'Q': 0.7608695652173914, 'P': None}
79 175 -1 [0, -1, 1, 0, 0, 1, 0, 0, 0] 5 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
79 176 -1 [0, -1, 1, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
79 177 -1 [0, -1, 1, 0, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
79 178 -1 [0, -1, 1, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
80 423 -1 [1, 0, 1, -1, 0, 0, 0, 0, 0] 0 {'N': 270, 'W': 249, 'Q': 0.9222222222222223, 'P': None}
80 424 -1 [0, 1, 1, -1, 0, 0, 0, 0, 0] 1 {'N': 274, 'W': 246, 'Q': 0.8978102189781022, 'P': None}
80 425 -1 [0, 0, 1, -1, 1, 0, 0, 0, 0] 4 {'N': 2, 'W': 0, 'Q': 0.0, 'P': None}
80 426 -1 [0, 0, 1, -1, 0, 1, 0, 0, 0] 5 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
80 427 -1 [0, 0, 1, -1, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
80 428 -1 [0, 0, 1, -1, 0, 0, 0, 1, 0] 7 {'N': 2, 'W': 0, 'Q': 0.0, 'P': None}
80 429 -1 [0, 0, 1, -1, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
81 86 -1 [1, 0, 1, 0, -1, 0, 0, 0, 0] 0 {'N': 2, 'W': -1, 'Q': -0.5, 'P': None}
81 87 -1 [0, 1, 1, 0, -1, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
81 88 -1 [0, 0, 1, 1, -1, 0, 0, 0, 0] 3 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
81 89 -1 [0, 0, 1, 0, -1, 1, 0, 0, 0] 5 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
81 90 -1 [0, 0, 1, 0, -1, 0, 1, 0, 0] 6 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
81 91 -1 [0, 0, 1, 0, -1, 0, 0, 1, 0] 7 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
81 92 -1 [0, 0, 1, 0, -1, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 141 -1 [1, 0, 1, 0, 0, 0, -1, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 142 -1 [0, 1, 1, 0, 0, 0, -1, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 143 -1 [0, 0, 1, 1, 0, 0, -1, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 144 -1 [0, 0, 1, 0, 1, 0, -1, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 145 -1 [0, 0, 1, 0, 0, 1, -1, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 146 -1 [0, 0, 1, 0, 0, 0, -1, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
83 147 -1 [0, 0, 1, 0, 0, 0, -1, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 49 -1 [1, -1, 0, 1, 0, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 50 -1 [0, -1, 1, 1, 0, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
35 51 -1 [0, -1, 0, 1, 1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
