73 123 -1 [1, -1, -1, 1, 1, -1, 0, -1, 1] 5 {'N': 2, 'W': 0, 'Q': 0.0, 'P': None}
73 124 -1 [-1, -1, -1, 1, -1, 1, -1, 1, 1] 6 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
73 125 -1 [0, -1, 0, 1, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
73 126 -1 [0, -1, 0, 1, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 154 -1 [-1, -1, 0, 0, 1, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 155 -1 [0, -1, -1, 0, 1, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 156 -1 [0, -1, 0, -1, 1, 0, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 157 -1 [0, -1, 0, 0, 1, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 158 -1 [0, -1, 0, 0, 1, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 159 -1 [0, -1, 0, 0, 1, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
74 160 -1 [0, -1, 0, 0, 1, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 174 -1 [-1, -1, 0, 0, 0, 1, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 175 -1 [0, -1, -1, 0, 0, 1, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 176 -1 [0, -1, 0, -1, 0, 1, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 177 -1 [0, -1, 0, 0, -1, 1, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 178 -1 [0, -1, 0, 0, 0, 1, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 179 -1 [0, -1, 0, 0, 0, 1, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
75 180 -1 [0, -1, 0, 0, 0, 1, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
10 237 -1 [1, -1, -1, 1, -1, -1, -1, 1, 1] 1 {'N': 395, 'W': -368, 'Q': -0.9316455696202531, 'P': None}
10 238 -1 [1, -1, -1, -1, -1, 1, 1, -1, 1] 3 {'N': 424, 'W': -412, 'Q': -0.9716981132075472, 'P': None}
10 239 -1 [1, -1, -1, 0, -1, 0, 1, -1, 1] 4 {'N': 4, 'W': -2, 'Q': -0.5, 'P': None}
10 240 -1 [1, 0, -1, 0, 1, -1, 0, 0, -1] 5 {'N': 2, 'W': -2, 'Q': -1.0, 'P': None}
10 241 -1 [1, -1, -1, 0, 1, 0, -1, 0, 1] 6 {'N': 2, 'W': 2, 'Q': 1.0, 'P': None}
10 242 -1 [1, 0, -1, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
10 243 -1 [1, 0, -1, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
11 161 -1 [-1, 1, -1, 1, -1, -1, 1, 1, -1] 0 {'N': 307, 'W': -290, 'Q': -0.9446254071661238, 'P': None}
11 162 -1 [-1, 1, -1, -1, 0, -1, 1, 1, 1] 3 {'N': 278, 'W': -179, 'Q': -0.6438848920863309, 'P': None}
11 163 -1 [1, 1, -1, -1, -1, 0, -1, 0, 1] 4 {'N': 233, 'W': -217, 'Q': -0.9313304721030042, 'P': None}
11 164 -1 [-1, 1, -1, -1, 1, -1, 1, -1, 1] 5 {'N': 1, 'W': 0, 'Q': 0.0, 'P': None}
11 165 -1 [0, 1, -1, 0, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
11 166 -1 [0, 1, -1, 0, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
11 167 -1 [0, 1, -1, 0, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
12 133 -1 [-1, 0, -1, 1, 0, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
12 134 -1 [-1, -1, -1, 1, 1, -1, 1, -1, 1] 1 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
12 135 -1 [1, 0, -1, 1, -1, 0, 1, -1, 0] 4 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
12 136 -1 [0, 0, -1, 1, 0, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
12 137 -1 [0, 0, -1, 1, 0, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
12 138 -1 [0, 0, -1, 1, 0, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
12 139 -1 [0, 0, -1, 1, 0, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 113 -1 [-1, 0, -1, 0, 0, 0, 1, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 114 -1 [0, -1, -1, 0, 0, 0, 1, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 115 -1 [0, 0, -1, -1, 0, 0, 1, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 116 -1 [0, 0, -1, 0, -1, 0, 1, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 117 -1 [0, 0, -1, 0, 0, -1, 1, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 118 -1 [0, 0, -1, 0, 0, 0, 1, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
15 119 -1 [0, 0, -1, 0, 0, 0, 1, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 100 -1 [-1, 0, -1, 0, 0, 0, 0, 1, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 101 -1 [0, -1, -1, 0, 0, 0, 0, 1, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 102 -1 [0, 0, -1, -1, 0, 0, 0, 1, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 103 -1 [0, 0, -1, 0, -1, 0, 0, 1, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 104 -1 [0, 0, -1, 0, 0, -1, 0, 1, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 105 -1 [0, 0, -1, 0, 0, 0, -1, 1, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
16 106 -1 [0, 0, -1, 0, 0, 0, 0, 1, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 86 -1 [-1, 0, -1, 0, 0, 0, 0, 0, 1] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 87 -1 [0, -1, -1, 0, 0, 0, 0, 0, 1] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 88 -1 [0, 0, -1, -1, 0, 0, 0, 0, 1] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 89 -1 [0, 0, -1, 0, -1, 0, 0, 0, 1] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 90 -1 [0, 0, -1, 0, 0, -1, 0, 0, 1] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 91 -1 [0, 0, -1, 0, 0, 0, -1, 0, 1] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
17 92 -1 [0, 0, -1, 0, 0, 0, 0, -1, 1] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 64 -1 [-1, 0, 0, -1, 1, 0, 0, 0, 0] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 65 -1 [0, -1, 0, -1, 1, 0, 0, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 66 -1 [0, 0, -1, -1, 1, 0, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 67 -1 [0, 0, 0, -1, 1, -1, 0, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 68 -1 [0, 0, 0, -1, 1, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 69 -1 [0, 0, 0, -1, 1, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 70 -1 [0, 0, 0, -1, 1, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 42 -1 [-1, 0, 0, -1, 0, 0, 0, 0, 1] 0 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 43 -1 [0, -1, 0, -1, 0, 0, 0, 0, 1] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 44 -1 [0, 0, -1, -1, 0, 0, 0, 0, 1] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 45 -1 [0, 0, 0, -1, -1, 0, 0, 0, 1] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 46 -1 [0, 0, 0, -1, 0, -1, 0, 0, 1] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 47 -1 [0, 0, 0, -1, 0, 0, -1, 0, 1] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
33 48 -1 [0, 0, 0, -1, 0, 0, 0, -1, 1] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
